prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
503741,2,Arnhem,9/1/2016,ICT,304,27,Man,1,ICT,6/30/2017,1,MBO,?,58.8,89,77,0
503752,3,Nijmegen,9/1/2016,ICT,249,26,Man,1,ICT,6/30/2017,1,VWO,1,85.5,82,81,0
503754,2,Arnhem,9/1/2017,CMD,231,31,Man,2,Niet Behaald,0,0,HAVO,1,84.1,0,47,0
503763,6,Arnhem,9/1/2016,CMD,206,25,Man,1,Niet Behaald,0,0,HAVO,1,46.0,55,54,1
503767,1,Arnhem,9/1/2016,CMD,312,28,Man,1,Niet Behaald,0,0,MBO,?,58.4,65,61,0
503770,2,Arnhem,9/1/2016,ICT,296,27,Man,1,ICT,6/30/2017,1,Buitenlands,?,94.4,72,63,0
503773,14,Nijmegen,9/1/2016,ICT,290,20,Man,1,Niet Behaald,0,0,MBO,?,0.0,0,0,0
503794,39,Den Bosch Eindhoven,9/1/2016,CMD,227,28,Man,1,CMD,6/30/2017,1,HAVO,1,88.3,70,58,1
503802,23,Utrecht,9/1/2016,ICT,246,32,Man,1,ICT,6/27/2018,1,MBO,?,82.8,43,32,0
503805,17,Arnhem,9/1/2016,ICT,252,27,Man,1,ICT,6/27/2018,1,HAVO,1,86.1,70,54,0
503808,5,Nijmegen,9/1/2016,ICT,240,24,Man,1,ICT,6/27/2018,1,HAVO,1,99.2,59,61,1
503822,39,Den Bosch Eindhoven,9/1/2016,CMD,251,28,Man,1,CMD,6/30/2017,1,MBO,?,78.7,70,63,0
503823,54,Den Bosch Eindhoven,9/1/2016,CMD,238,28,Man,1,CMD,6/30/2017,1,HAVO,1,74.5,59,53,0
503826,4,Arnhem,9/1/2016,CMD,276,28,Vrouw,1,CMD,1/29/2019,1,MBO,?,60.4,0,44,0
503828,25,Noord Gld Overijssel,9/1/2018,CMD,325,31,Vrouw,1,Niet Behaald,0,0,HAVO,1,28.8,40,52,0
503847,3,Arnhem,9/1/2016,CMD,208,27,Man,1,CMD,6/30/2017,1,HAVO,1,76.3,83,65,0
503850,99,Zuiden,9/1/2016,ICT,209,25,Man,1,Niet Behaald,0,0,HAVO,1,70.5,68,49,0
503854,9,Zevenaar,9/1/2018,CMD,234,31,Man,2,CMD,7/8/2019,1,HAVO,1,74.5,64,70,0
503856,22,Apeldoorn,9/1/2016,CMD,218,28,Man,1,CMD,6/27/2018,1,HAVO,1,79.2,65,65,0
503862,3,Arnhem,9/1/2016,CMD,303,28,Man,1,CMD,7/8/2019,1,HAVO,1,58.5,58,54,0
503873,37,Den Bosch Eindhoven,9/1/2016,CMD,230,27,Man,1,CMD,6/30/2017,1,HAVO,1,95.6,76,69,0
503875,79,Zuiden,9/1/2016,CMD,239,28,Man,1,CMD,6/27/2018,1,VWO,1,88.8,55,57,0
503878,17,Nijmegen,9/1/2016,CMD,292,27,Man,1,CMD,6/30/2017,1,MBO,?,36.2,57,66,0
503884,16,Nijmegen,9/1/2016,CMD,254,27,Vrouw,1,CMD,6/30/2017,1,MBO,?,58.5,83,74,0
503889,14,Nijmegen,9/1/2016,CMD,232,27,Man,1,CMD,6/27/2018,1,HAVO,1,73.4,68,73,0
503893,26,Veenendaal,9/1/2016,CMD,209,28,Vrouw,1,CMD,6/30/2017,1,HAVO,1,83.2,60,66,0
503894,17,Nijmegen,9/1/2016,ICT,224,31,Man,1,Niet Behaald,0,0,HAVO,1,30.2,60,51,0
503900,69,Zuiden,9/1/2016,ICT,269,20,Man,1,ICT,6/30/2017,1,MBO,?,92.8,90,73,0
503906,2,Nijmegen,9/1/2016,ICT,245,24,Man,1,Niet Behaald,0,0,VWO,1,12.0,70,60,0
503915,102,Westen,9/1/2016,ICT,244,32,Man,1,ICT,1/29/2019,1,HAVO,1,45.5,75,52,0
503925,34,Deventer,9/1/2016,CMD,282,25,Man,1,Niet Behaald,0,0,MBO,?,20.6,0,0,0
503926,6,Arnhem,9/1/2016,ICT,325,26,Man,1,ICT,6/30/2017,1,MBO,?,71.8,87,81,0
503931,60,Utrecht,9/1/2016,CMD,264,28,Vrouw,1,Niet Behaald,0,0,HAVO,1,11.9,85,77,0
503932,34,Deventer,9/1/2016,ICT,285,26,Man,1,Niet Behaald,0,0,MBO,?,56.6,57,28,0
503935,4,Arnhem,9/1/2018,ICT,308,31,Man,2,Niet Behaald,0,0,HAVO,1,0.0,0,0,0
503947,15,Zevenaar,9/1/2016,ICT,236,31,Man,1,Niet Behaald,0,0,HAVO,1,70.7,67,47,0
503952,31,Utrecht,9/1/2018,ICT,356,31,Man,1,Niet Behaald,0,0,MBO,?,77.2,28,46,1
503959,37,Zuiden,9/1/2016,CMD,253,28,Man,1,Niet Behaald,0,0,MBO,?,60.7,65,71,0
503960,32,Den Bosch Eindhoven,9/1/2016,ICT,239,29,Man,1,Niet Behaald,0,0,HAVO,1,83.8,64,59,0
503962,9,Nijmegen,9/1/2017,ICT,241,30,Man,1,Niet Behaald,0,0,MBO,?,67.3,32,57,0
503965,20,Ede Wageningen,9/1/2016,ICT,249,24,Man,1,ICT,6/30/2017,1,VWO,1,93.1,90,86,0
503983,25,Den Bosch Eindhoven,9/1/2016,ICT,223,25,Man,1,Niet Behaald,0,0,HAVO,1,58.1,77,60,0
503995,1,Nijmegen,9/1/2016,ICT,243,27,Man,1,Niet Behaald,0,0,MBO,?,49.6,70,58,0
503997,17,Nijmegen,9/1/2016,CMD,284,27,Man,1,CMD,6/30/2017,1,MBO,?,35.0,83,71,0
504012,31,Veenendaal,9/1/2016,ICT,272,24,Man,1,Niet Behaald,0,0,HAVO,1,32.8,50,59,0
504018,8,Nijmegen,9/1/2016,ICT,217,26,Man,1,ICT,6/30/2017,1,HAVO,1,70.4,88,65,0
504022,29,Nijmegen,9/1/2016,CMD,251,25,Man,1,CMD,6/27/2018,1,MBO,?,82.3,59,56,0
504023,34,Doetinchem,9/1/2016,ICT,297,24,Man,1,ICT,6/27/2018,1,MBO,?,48.8,40,60,1
504027,0,Arnhem,9/1/2016,CMD,272,28,Man,1,CMD,6/27/2018,1,HAVO,1,62.9,60,49,0
504030,89,Westen,9/1/2016,CMD,243,28,Vrouw,1,CMD,6/30/2017,1,MBO,?,74.5,82,77,0
504048,21,Ede Wageningen,9/1/2016,CMD,231,26,Man,1,Niet Behaald,0,0,HAVO,1,88.8,60,50,0
504051,5,Nijmegen,9/1/2016,ICT,274,26,Man,1,ICT,6/30/2017,1,VWO,1,54.1,79,67,0
504055,82,Zuiden,9/1/2016,ICT,253,27,Man,1,Niet Behaald,0,0,MBO,?,8.0,0,0,0
504057,30,Utrecht,9/1/2016,CMD,352,27,Man,1,Niet Behaald,0,0,HAVO,0,50.0,78,74,0
504071,2,Nijmegen,9/1/2016,ICT,232,26,Man,1,Niet Behaald,0,0,VWO,1,73.8,91,77,0
504080,28,Zevenaar,9/1/2016,ICT,246,27,Man,1,Niet Behaald,0,0,HAVO,1,60.2,54,61,0
504089,29,Doetinchem,9/1/2017,CMD,235,28,Man,1,Niet Behaald,0,0,HAVO,1,83.5,63,56,0
504094,11,Nijmegen,9/1/2016,CMD,378,26,Man,1,CMD,6/30/2017,1,Anders,?,87.8,81,72,0
504096,61,Utrecht,9/1/2016,ICT,277,32,Man,1,ICT,6/27/2018,1,HAVO,1,62.4,49,62,0
504101,2,Nijmegen,9/1/2016,ICT,235,24,Man,1,ICT,6/30/2017,1,VWO,1,61.3,95,83,0
504103,2,Arnhem,9/1/2016,CMD,235,27,Man,1,Niet Behaald,0,0,HAVO,1,67.5,60,53,0
504113,19,Nijmegen,9/1/2016,CMD,253,28,Vrouw,1,Niet Behaald,0,0,MBO,?,21.3,0,0,0
504117,0,Arnhem,9/1/2016,CMD,289,25,Man,1,Niet Behaald,0,0,HAVO,1,27.8,52,20,0
504119,31,Utrecht,9/1/2016,ICT,207,27,Man,1,ICT,6/30/2017,1,HAVO,1,76.5,77,65,0
504121,18,Nijmegen,9/1/2016,CMD,234,28,Man,1,Niet Behaald,0,0,HAVO,1,36.6,65,62,0
504122,2,Arnhem,9/1/2016,CMD,225,28,Vrouw,1,CMD,6/30/2017,1,HAVO,1,76.4,73,68,0
504129,25,Den Bosch Eindhoven,9/1/2016,ICT,301,26,Man,1,ICT,6/27/2018,1,VWO,1,87.6,79,68,0
504135,27,Nijmegen,9/1/2017,CMD,330,27,Man,1,Niet Behaald,0,0,MBO,?,11.6,0,0,0
504494,6,Nijmegen,9/1/2017,ICT,358,26,Man,1,Niet Behaald,0,0,Buitenlands,?,5.4,61,49,0
504507,31,Doetinchem,9/1/2017,ICT,242,32,Man,1,Niet Behaald,0,0,HAVO,1,53.1,40,59,0
504812,26,Zevenaar,9/1/2018,ICT,242,29,Man,1,Niet Behaald,0,0,HAVO,1,15.9,0,0,0
504852,4,Nijmegen,9/1/2017,ICT,221,31,Man,1,Niet Behaald,0,0,HAVO,1,66.3,60,59,0
504857,3,Arnhem,9/1/2017,CMD,231,28,Man,1,Niet Behaald,0,0,HAVO,1,72.0,70,60,0
504882,1,Nijmegen,9/1/2017,ICT,224,27,Man,1,Niet Behaald,0,0,HAVO,1,24.7,42,48,0
504897,25,Noord Gld Overijssel,9/1/2017,CMD,216,27,Vrouw,1,CMD,6/27/2018,1,HAVO,1,95.7,57,67,0
504916,6,Arnhem,9/1/2017,ICT,209,23,Man,1,Niet Behaald,0,0,HAVO,1,45.5,66,53,0
504932,6,Zevenaar,9/1/2017,CMD,216,29,Man,1,CMD,6/27/2018,1,HAVO,1,86.4,70,74,0
504955,37,Den Bosch Eindhoven,9/1/2018,CMD,249,30,Man,1,Niet Behaald,0,0,HAVO,1,53.8,55,52,0
504979,4,Arnhem,9/1/2017,ICT,244,27,Man,1,Niet Behaald,0,0,HAVO,1,22.4,67,63,0
505018,6,Nijmegen,9/1/2017,ICT,226,31,Man,1,Niet Behaald,0,0,HAVO,1,68.7,62,63,0
505054,14,Nijmegen,9/1/2019,CMD,239,30,Vrouw,1,Niet Behaald,0,0,HAVO,1,1.7,0,0,0
505068,6,Nijmegen,9/1/2017,ICT,222,27,Man,1,ICT,1/31/2019,1,HAVO,1,97.3,70,64,0
505071,8,Arnhem,9/1/2019,ICT,302,32,Man,1,Niet Behaald,0,0,MBO,?,98.0,72,66,1
505119,10,Nijmegen,9/1/2017,ICT,216,33,Man,1,Niet Behaald,0,0,HAVO,1,40.0,92,53,0
505128,3,Nijmegen,9/1/2017,ICT,247,28,Man,1,ICT,6/27/2018,1,VWO,1,84.4,92,64,0
505135,0,Arnhem,9/1/2017,CMD,252,27,Man,1,CMD,6/27/2018,1,HAVO,1,82.6,80,77,0
505150,4,Arnhem,9/1/2018,ICT,237,27,Man,1,Niet Behaald,0,0,HAVO,1,57.9,96,52,0
505155,27,Nijmegen,9/1/2017,ICT,220,27,Man,1,Niet Behaald,0,0,HAVO,1,48.8,78,61,1
505182,17,Arnhem,9/1/2017,ICT,246,31,Man,1,Niet Behaald,0,0,HAVO,1,48.1,56,47,0
505188,33,Doetinchem,9/1/2018,ICT,238,27,Man,1,Niet Behaald,0,0,HAVO,1,68.8,67,71,0
505234,25,Apeldoorn,9/1/2017,CMD,262,32,Vrouw,1,CMD,1/29/2019,1,MBO,?,50.0,78,67,0
505412,2,Arnhem,9/1/2017,ICT,295,27,Man,1,Niet Behaald,0,0,VWO,1,68.8,84,76,0
505423,16,Den Bosch Eindhoven,9/1/2018,ICT,250,31,Man,2,Niet Behaald,0,0,HAVO,1,64.1,57,58,0
505484,36,Deventer,9/1/2016,ICT,227,27,Man,1,ICT,6/27/2018,1,HAVO,1,70.6,84,83,0
505497,0,Arnhem,9/1/2017,CMD,269,29,Man,1,Niet Behaald,0,0,MBO,?,10.2,0,0,0
505697,6,Nijmegen,9/1/2017,ICT,228,27,Man,1,ICT,6/26/2019,1,HAVO,1,93.0,26,60,1
505736,4,Arnhem,9/1/2017,ICT,212,22,Vrouw,1,Niet Behaald,0,0,HAVO,1,50.9,80,63,0
505739,1,Nijmegen,9/1/2017,ICT,205,31,Vrouw,1,ICT,6/27/2018,1,HAVO,1,90.9,47,69,0
505741,21,Doetinchem,9/1/2017,ICT,217,26,Man,1,ICT,6/27/2018,1,VWO,1,96.6,81,88,0
505744,15,Zevenaar,9/1/2017,ICT,226,33,Man,1,ICT,6/27/2018,1,HAVO,1,99.1,100,70,0
505749,47,Winterswijk,9/1/2018,ICT,262,27,Man,1,Niet Behaald,0,0,MBO,?,75.5,58,62,0
505755,5,Arnhem,9/1/2019,CMD,298,31,Man,1,Niet Behaald,0,0,Buitenlands,?,21.4,0,0,0
505781,2,Arnhem,9/1/2017,CMD,234,27,Vrouw,1,CMD,6/27/2018,1,HAVO,1,55.7,82,68,0
505783,27,Veenendaal,9/1/2017,ICT,281,26,Man,1,Niet Behaald,0,0,MBO,?,8.7,0,0,0
505784,15,Zevenaar,9/1/2017,ICT,290,25,Man,1,Niet Behaald,0,0,MBO,?,48.4,18,48,0
505807,1,Arnhem,9/1/2017,ICT,311,26,Man,1,ICT,6/27/2018,1,Anders,?,70.5,58,68,0
505813,25,Den Bosch Eindhoven,9/1/2017,ICT,258,28,Man,1,Niet Behaald,0,0,MBO,?,37.3,59,52,0
505824,1,Nijmegen,9/1/2017,ICT,256,28,Vrouw,1,Niet Behaald,0,0,MBO,?,42.4,29,52,0
505840,19,Nijmegen,9/1/2017,CMD,210,30,Man,1,Niet Behaald,0,0,HAVO,1,70.2,60,63,0
505845,21,Doetinchem,9/1/2017,ICT,237,26,Man,1,ICT,6/27/2018,1,MBO,?,93.9,84,84,0
505847,17,Zevenaar,9/1/2017,CMD,238,27,Man,1,CMD,6/27/2018,1,MBO,?,94.2,73,66,0
